Run 1
Post Number,Degrees,Azimuth (Degrees),Wind-Dir (%),10-min Concentrations (mg/m3) 50,10-min Concentrations (mg/m3) 100,10-min Concentrations (mg/m3) 200,2-Post Number,3-min Concentrations (mg/m3) 50,3-min Concentrations (mg/m3) 100,3-min Concentrations (mg/m3) 200,3-Post Number,0.5-min Concentrations (mg/m3) 50,0.5-min Concentrations (mg/m3) 100,0.5-min Concentrations (mg/m3) 200,4-Post Number,Height (m),10-min Vertical Samples Concentrations (mg/m3) 50,10-min Vertical Samples Concentrations (mg/m3) 100,10-min Vertical Samples Concentrations (mg/m3) 200
72,1.5,129,,,,,72,,,,72,,,,,,,,
73,1.5,130.5,,,,,73,,,,73,,,,,,,,
74,1.5,132,,,,,74,,,,74,,,,,,,,
75,1.5,133.5,,,,,75,,,,75,,,,,,,,
76,1.5,135,0.42,,,,76,,,,76,,,,,,,,
Run 7
23,1.5,55.5,,,,,23,,,,23,,,,,,,,
24,1.5,57,0.83,0.579,,,24,,,,24,,,,,,,,
25,1.5,58.5,,,,,25,,,,25,,,,,,,,
26,1.5,60,2.08,3.04,,,26,,,,26,,,,26,2.5,3.03,,
27,1.5,61.5,,,,,27,,,,27,,,,,1,2.49,,
28,1.5,63,2.08,5.33,0.215,,28,,,,28,,,,,0.5,1.89,,
29,1.5,64.5,,,,,29,,,,29,,,,,,,,
30,1.5,66,4.16,19,0.93,,30,,,,30,,,,,,,,
31,1.5,67.5,,,,,31,,,,31,,,,,,,,
32,1.5,69,6.25,31.3,3.25,0.058,32,,,,32,,,,,,,,
33,1.5,70.5,,,,,33,0.666,,,33,,,,,,,,
34,1.5,72,6.67,39.9,8.53,0.244,34,2.02,,,34,,,,,,,,
35,1.5,73.5,,,,,35,3.25,0.46,,35,0.96,,,,,,,
36,1.5,75,2.92,58.6,15.1,1.63,36,6.57,2,,36,4.08,,,36,2.5,45.5,14.2,1.8
37,1.5,76.5,,,,,37,12.9,2.67,0.177,37,4.26,,,,1,63.2,,
38,1.5,78,9.17,89.7,20.8,4.35,38,25.1,4.33,0.977,38,,,,,0.5,71.5,15.2,1.44
39,1.5,79.5,,,,,39,38.0,6.2,2.96,39,2.66,,,,,,,
40,1.5,81,9.58,114,25.9,7.26,40,57.0,6.83,2.26,40,9.94,,,,,,,
41,1.5,82.5,,,,,41,67.3,15.8,2.06,41,29.0,0.62,,,,,,
42,1.5,84,10.42,112,39.9,9.03,42,75.7,30.2,2.92,42,40.0,0.82,,,,,,
43,1.5,85.5,,,,,43,95.7,35,5.47,43,53.2,1.3,,,,,,
44,1.5,87,7.08,106,35.8,13.7,44,118.0,37.7,8.6,44,83.2,14.4,,,,,,
45,1.5,88.5,,,,,45,154.0,38.7,11.5,45,177.0,12.4,,,,,,
46,1.5,90,6.67,104,35.3,12.0,46,154.0,39,11.7,46,181.0,11.8,,46,2.5,69.3,31.3,10.6
47,1.5,91.5,,,,,47,152.0,46,13.7,47,125.0,14.2,,,1,122,,
48,1.5,93,6.67,92.3,34.8,8.38,48,131.0,55.3,12.2,48,81.4,29.4,1.68,,0.5,144,38.1,11.8
49,1.5,94.5,,,,,49,136.0,52.7,11.2,49,138.0,25,2.08,,,,,
50,1.5,96,7.5,102,26.1,5.41,50,118.0,52,-99,50,121.0,62.4,4.7,,,,,
51,1.5,97.5,,,,,51,127.0,36,-99,51,110.0,56.6,4.56,,,,,
52,1.5,99,5,91.2,15.4,3.0,52,127.0,23.2,4.83,52,120.0,29,4.36,,,,,
53,1.5,100.5,,,,,53,107.0,20.5,4.07,53,158.0,23.6,4.32,,,,,
54,1.5,102,3.75,49.1,8.05,1.33,54,92.0,17.2,3.33,54,145.0,34.4,4.52,,,,,
55,1.5,103.5,,,,,55,87.3,13.6,2.19,55,197.0,29.4,2.84,,,,,
56,1.5,105,3.75,29,4.66,0.625,56,62.0,10.1,2.26,56,175.0,20.2,2.72,56,2.5,21,4.62,0.695
57,1.5,106.5,,,,,57,33.1,7.13,1.32,57,128.0,12.4,2.88,,1,32.8,,
58,1.5,108,2.08,13.9,2.21,0.239,58,-99.0,4.17,0.82,58,110.0,6.08,,,0.5,30.5,4.35,0.725
59,1.5,109.5,,,,,59,26.9,3.1,0.447,59,-99.0,9.04,,,,,,
60,1.5,111,0.42,10.7,0.5,,60,-99.0,1.54,,60,130.0,10.4,,,,,,
61,1.5,112.5,,,,,61,19.8,0.257,,61,115.0,1.36,,,,,,
62,1.5,114,1.67,5.88,0.065,,62,10.5,0.073,,62,62.2,,,,,,,
63,1.5,115.5,,,,,63,3.9,,,63,24.6,,,,,,,
64,1.5,117,,0.599,,,64,1.97,,,64,13.5,,,,,,,
65,1.5,118.5,,,,,65,,,,65,,,,,,,,
66,1.5,120,,,,,66,,,,66,,,,,,,,
67,1.5,121.5,,,,,67,,,,67,,,,,,,,
68,1.5,123,0.83,,,,68,,,,68,,,,,,,,
69,1.5,124.5,,,,,69,,,,69,,,,,,,,
70,1.5,126,,,,,70,,,,70,,,,,,,,
71,1.5,127.5,,,,,71,,,,71,,,,,,,,
72,1.5,129,0.42,,,,72,,,,72,,,,,,,,
73,1.5,130.5,,,,,73,,,,73,,,,,,,,
Run 8
25,1.5,58.5,,,,,25,,,,25,,,,,,,,
26,1.5,60,0.42,,,,26,,,,26,,,,,,,,
27,1.5,61.5,,,,,27,,,,27,,,,,,,,
28,1.5,63,1.25,,,,28,,,,28,,,,,,,,
29,1.5,64.5,,,,,29,0.287,,,29,,,,,,,,
30,1.5,66,1.25,0.893,,,30,0.483,,,30,,,,,,,,
31,1.5,67.5,,,,,31,4.03,,,31,,,,,,,,
32,1.5,69,0.83,6.91,,,32,10.9,,,32,,,,,,,,
33,1.5,70.5,,,,,33,21.5,0.613,,33,,,,,,,,
34,1.5,72,2.5,20.5,1.13,,34,44.7,2.63,,34,,,,,,,,
35,1.5,73.5,,,,,35,43.3,5.1,0.18,35,,1.08,,,,,,
36,1.5,75,3.33,29.8,5.95,0.228,36,59.0,9.93,0.697,36,4.06,6.42,,36,2.5,27.6,5.38,0.248
37,1.5,76.5,,,,,37,85.3,17.6,1.01,37,8.52,13.4,,,1,30.7,,
38,1.5,78,6.25,56.1,12.3,1.17,38,85.0,26.3,3.83,38,14.7,17.2,1.86,,0.5,33.5,6.03,0.196
39,1.5,79.5,,,,,39,76.0,37.3,6.17,39,32.2,21.8,6.18,,,,,
40,1.5,81,7.92,66.5,22.2,3.69,40,73.0,43.3,9.53,40,46.2,22.8,7.76,,,,,
41,1.5,82.5,,,,,41,86.3,42,17.4,41,80.2,27.8,11.6,,,,,
42,1.5,84,11.25,84.3,28.1,9.86,42,124.0,47.7,18.8,42,-99.0,26,23.0,,,,,
43,1.5,85.5,,,,,43,143.0,47.3,16.7,43,114.0,23.4,11.4,,,,,
44,1.5,87,5.83,84.3,29.8,11.7,44,169.0,47.7,15.8,44,142.0,26.6,11.0,,,,,
45,1.5,88.5,,,,,45,235.0,51.7,14.4,45,182.0,31.4,11.0,,,,,
46,1.5,90,8.75,101,36.7,13.3,46,285.0,56.3,16.3,46,165.0,53,9.4,46,2.5,85.4,32.5,12.1
47,1.5,91.5,,,,,47,249.0,61.3,18.4,47,176.0,82.4,10.4,,1,164,,
48,1.5,93,9.59,134,49.7,14.0,48,198.0,69.3,16.8,48,120.0,91.2,11.0,,0.5,192,37.6,12.5
49,1.5,94.5,,,,,49,183.0,65.3,16.6,49,113.0,74.4,8.8,,,,,
50,1.5,96,9.17,128,47.7,11.9,50,187.0,59.7,9.87,50,115.0,44.8,9.0,,,,,
51,1.5,97.5,,,,,51,145.0,40.7,5.93,51,70.2,29.2,4.94,,,,,
52,1.5,99,6.25,141,34.4,7.38,52,132.0,26.4,3.33,52,69.8,22.2,3.56,,,,,
53,1.5,100.5,,,,,53,87.7,11.1,1.07,53,73.0,12.6,1.2,,,,,
54,1.5,102,8.75,142,20.5,2.72,54,66.0,4.4,0.133,54,75.0,15.8,,,,,,
55,1.5,103.5,,,,,55,51.0,2.6,,55,56.8,9.24,,,,,,
56,1.5,105,4.58,103,8.14,0.936,56,33.7,3.43,,56,44.6,14.3,,56,2.5,54.9,7.85,0.884
57,1.5,106.5,,,,,57,13.6,1.4,,57,34.2,6.34,,,1,90.3,,
58,1.5,108,4.58,76.9,1.55,0.207,58,5.97,,,58,22.8,1.06,,,0.5,101,7.28,0.884
59,1.5,109.5,,,,,59,3.9,,,59,25.2,,,,,,,
60,1.5,111,2.08,37.6,0.41,,60,7.07,,,60,39.2,,,,,,,
61,1.5,112.5,,,,,61,5.53,,,61,36.0,,,,,,,
62,1.5,114,1.67,13.2,0.109,,62,5.93,,,62,34.2,,,,,,,
63,1.5,115.5,,,,,63,3.9,,,63,24.6,,,,,,,
64,1.5,117,0.42,5.89,,,64,1.05,,,64,8.44,,,,,,,
65,1.5,118.5,,,,,65,,,,65,,,,,,,,
66,1.5,120,1.25,0.833,,,66,,,,66,,,,66,2.5,0.026,,
67,1.5,121.5,,,,,67,,,,67,,,,,1,0.33,,
68,1.5,123,0.42,0.278,,,68,,,,68,,,,,0.5,0.297,,
69,1.5,124.5,,,,,69,,,,69,,,,,,,,
70,1.5,126,0.83,,,,70,,,,70,,,,,,,,
71,1.5,127.5,,,,,71,,,,71,,,,,,,,
72,1.5,129,0.83,,,,72,,,,72,,,,,,,,
73,1.5,130.5,,,,,73,,,,73,,,,,,,,
Run 9
9,1.5,34.5,,,,,9,,,,9,,,,,,,,
10,1.5,36,,0.181,,,10,,,,10,,,,,,,,
11,1.5,37.5,,,,,11,,,,11,,,,,,,,
12,1.5,39,,1.9,,,12,,,,12,,,,,,,,
13,1.5,40.5,,,,,13,,,,13,,,,,,,,
14,1.5,42,,10.5,0.041,,14,,,,14,,,,,,,,
15,1.5,43.5,,,,,15,0.077,,,15,,,,,,,,
16,1.5,45,0.42,23.7,1.37,,16,0.593,,,16,,,,,,,,
17,1.5,46.5,,,,,17,2.26,,,17,,,,16,2.5,21.3,1.79,
18,1.5,48,3.33,43.4,2.8,0.057,18,5.57,,,18,0.88,,,,1,24.4,,
19,1.5,49.5,,,,,19,20.3,,,19,16.1,,,,0.5,23.7,0.741,
20,1.5,51,2.08,57.4,6.85,0.673,20,31.4,,,20,39.2,,,,,,,
21,1.5,52.5,,,,,21,66.0,,,21,110.0,,,,,,,
22,1.5,54,3.75,69.3,13.4,2.05,22,86.3,1.49,,22,93.8,2.06,0.64,,,,,
23,1.5,55.5,,,,,23,108.0,2.46,,23,122.0,4.56,2.1,,,,,
24,1.5,57,5,106,17.7,4.45,24,113.0,6.17,0.32,24,212.0,20,2.02,,,,,
25,1.5,58.5,,,,,25,117.0,16.6,0.587,25,306.0,79.6,5.6,,,,,
26,1.5,60,4.58,136,29.3,5.21,26,98.3,24.6,1.44,26,244.0,108,7.54,26,2.5,101,23.1,4.89
27,1.5,61.5,,,,,27,94.7,36.3,2.91,27,165.0,116,12.2,,1,156,,
28,1.5,63,7.92,148,48.2,8.14,28,94.0,45.7,3.63,28,138.0,121,15.6,,0.5,173,30.2,5.6
29,1.5,64.5,,,,,29,102.0,46.7,7.6,29,159.0,117,33.6,,,,,
30,1.5,66,10.42,153,57.7,12.7,30,104.0,46.7,12.3,30,162.0,124,36.2,,,,,
31,1.5,67.5,,,,,31,110.0,42.3,14.3,31,242.0,110,32.6,,,,,
32,1.5,69,11.25,174,59.2,17.4,32,107.0,39.7,16,32,260.0,80,29.2,,,,,
33,1.5,70.5,,,,,33,131.0,43,17.7,33,226.0,48.2,19.4,,,,,
34,1.5,72,8.33,177,51.1,16.6,34,147.0,48.7,16.9,34,136.0,53,16.6,,,,,
35,1.5,73.5,,,,,35,156.0,52.7,14.5,35,96.8,33.6,13.4,,,,,
36,1.5,75,7.5,155,47.7,14.3,36,173.0,50.7,12,36,127.0,15,3.22,36,2.5,112,41.0,12.7
37,1.5,76.5,,,,,37,176.0,47,9.8,37,129.0,5.84,3.4,,1,174,,
38,1.5,78,7.92,129,40.4,11.2,38,197.0,48.7,10.8,38,101.0,4.72,2.5,,0.5,201,52.9,14.2
39,1.5,79.5,,,,,39,183.0,53,12,39,52.8,4.72,1.64,,,,,
40,1.5,81,7.08,98.7,38.2,5.79,40,154.0,55.3,9.93,40,40.0,1.2,1.18,,,,,
41,1.5,82.5,,,,,41,129.0,45.3,8.9,41,36.4,0.56,0.82,,,,,
42,1.5,84,7.08,81.7,23.9,4.67,42,124.0,36.3,9.8,42,55.4,,,,,,,
43,1.5,85.5,,,,,43,114.0,31.3,10.1,43,54.0,,,,,,,
44,1.5,87,3.75,70.6,12.1,3.27,44,94.7,22.6,8,44,80.0,,,,,,,
45,1.5,88.5,,,,,45,77.0,18.6,4.17,45,58.0,,,,,,,
46,1.5,90,4.17,40.4,6.73,0.48,46,58.0,12.6,0.95,46,36.2,,,46,2.5,32.7,5.88,0.618
47,1.5,91.5,,,,,47,32.7,7.9,0.087,47,18.7,,,,1,44.5,,
48,1.5,93,2.5,14.6,2.92,,48,17.4,2.49,,48,,,,,0.5,44.5,7.83,0.369
49,1.5,94.5,,,,,49,8.5,0.767,,49,,,,,,,,
50,1.5,96,,5.57,0.686,,50,3.13,0.423,,50,,,,,,,,
51,1.5,97.5,,,,,51,0.347,,,51,,,,,,,,
52,1.5,99,,2.32,0.127,,52,0.117,,,52,,,,,,,,
53,1.5,100.5,,,,,53,0.067,,,53,,,,,,,,
54,1.5,102,1.25,3.68,,,54,,,,54,,,,,,,,
55,1.5,103.5,,,,,55,,,,55,,,,,,,,
56,1.5,105,,2.82,,,56,,,,56,,,,56,2.5,2.73,,
57,1.5,106.5,,,,,57,,,,57,,,,,1,2.26,,
58,1.5,108,0.83,0.275,,,58,,,,58,,,,,0.5,0.686,,
59,1.5,109.5,,,,,59,,,,59,,,,,,,,
60,1.5,111,,,,,60,,,,60,,,,,,,,
61,1.5,112.5,,,,,61,,,,61,,,,,,,,
62,1.5,114,0.42,,,,62,,,,62,,,,,,,,
63,1.5,115.5,,,,,63,,,,63,,,,,,,,
63,1.5,115.5,,,,,63,,,,63,,,,,,,,
64,1.5,117,,,,,64,,,,64,,,,,,,,
65,1.5,118.5,,,,,65,,,,65,,,,,,,,
66,1.5,120,,,,,66,,,,66,,,,,,,,
67,1.5,121.5,,,,,67,,,,67,,,,,,,,
68,1.5,123,,,,,68,,,,68,,,,,,,,
69,1.5,124.5,,,,,69,,,,69,,,,,,,,
70,1.5,126,,,,,70,,,,70,,,,,,,,
71,1.5,127.5,,,,,71,,,,71,,,,,,,,
72,1.5,129,,,,,72,,,,72,,,,,,,,
73,1.5,130.5,,,,,73,,,,73,,,,,,,,
74,1.5,132,,,,,74,,,,74,,,,,,,,
75,1.5,133.5,,,,,75,,,,75,,,,,,,,
76,1.5,135,,,,,76,,,,76,,,,,,,,
77,1.5,136.5,,,,,77,,,,77,,,,,,,,
78,1.5,138,0.42,,,,78,,,,78,,,,,,,,
Run 10
11,1.5,37.5,,,,,11,,,,11,,,,,,,,
12,1.5,39,0.42,0.546,,,12,,,,12,,,,,,,,
13,1.5,40.5,,,,,13,,,,13,,,,,,,,
14,1.5,42,,5.57,,,14,,,,14,,,,,,,,
15,1.5,43.5,,,,,15,,,,15,,,,,,,,
16,1.5,45,0.42,10.6,0.013,0.144,16,,,,16,,,,16,2.5,7.36,0.053,
17,1.5,46.5,,,,,17,,,,17,,,,,1,12.9,,
18,1.5,48,1.25,19.7,0.402,0.367,18,,,,18,,,,,0.5,13.8,0.004,
19,1.5,49.5,,,,,19,,,,19,,,,,,,,
20,1.5,51,1.67,23.3,3.28,1.06,20,,,,20,,,,,,,,
21,1.5,52.5,,,,,21,,,,21,,,,,,,,
22,1.5,54,2.5,29.8,6.72,1.18,22,,,,22,,,,,,,,
23,1.5,55.5,,,,,23,,,,23,,,,,,,,
24,1.5,57,3.33,35.9,7.52,1.93,24,,,,24,,,,,,,,
25,1.5,58.5,,,,,25,,,,25,,,,,,,,
26,1.5,60,6.25,51.8,14.1,3.59,26,,,,26,,,,26,2.5,35.5,12.6,1.7
27,1.5,61.5,,,,,27,,,,27,,,,,1,55.9,,
28,1.5,63,3.75,86.6,22.6,4.71,28,,,,28,,,,,0.5,60.8,15.0,1.97
29,1.5,64.5,,,,,29,,,,29,,,,,,,,
30,1.5,66,4.58,98.2,25,3.03,30,,,,30,,,,,,,,
31,1.5,67.5,,,,,31,,,,31,,,,,,,,
32,1.5,69,4.58,97.4,28.4,3.79,32,2.02,,,32,,,,,,,,
33,1.5,70.5,,,,,33,4.8,,,33,,,,,,,,
34,1.5,72,7.08,115,24.8,4.26,34,11.7,,,34,,,,,,,,
35,1.5,73.5,,,,,35,16.8,,,35,,,,,,,,
36,1.5,75,3.75,119,20.2,3.23,36,20.7,,,36,,,,36,2.5,91,19.8,3.92
37,1.5,76.5,,,,,37,13.5,,,37,,,,,1,131,,
38,1.5,78,5,101,16.1,2.92,38,13.9,0.11,,38,,,,,0.5,143,22.1,4.03
39,1.5,79.5,,,,,39,13.3,0.117,,39,,,,,,,,
40,1.5,81,5.83,79,16,1.46,40,14.5,0.24,,40,,,,,,,,
41,1.5,82.5,,,,,41,21.8,2.34,,41,3.16,,,,,,,
42,1.5,84,4.58,61.8,13.8,1.0,42,35.7,3.5,0.07,42,13.0,,,,,,,
43,1.5,85.5,,,,,43,54.0,5.57,0.35,43,62.0,,,,,,,
44,1.5,87,3.75,82.4,14.4,1.43,44,63.0,13.3,0.93,44,108.0,,,,,,,
45,1.5,88.5,,,,,45,112.0,17.7,0.73,45,228.0,,,,,,,
46,1.5,90,4.16,96.9,20.2,2.79,46,132.0,26.3,1.97,46,256.0,0.76,,46,2.5,69.5,19.6,1.4
47,1.5,91.5,,,,,47,154.0,37,4.5,47,258.0,1.62,,,1,116,,
48,1.5,93,3.75,105,24.2,3.49,48,183.0,42.8,5.27,48,210.0,2.68,,,0.5,132,18.9,1.3
49,1.5,94.5,,,,,49,212.0,39.3,6.2,49,214.0,8.98,,,,,,
50,1.5,96,5.42,101,19,2.41,50,212.0,39.3,7.37,50,160.0,12.2,,,,,,
51,1.5,97.5,,,,,51,229.0,40.7,7.57,51,234.0,13.2,0.4,,,,,
52,1.5,99,5.42,105,16.6,3.11,52,279.0,47,7.23,52,204.0,13.6,0.48,,,,,
53,1.5,100.5,,,,,53,193.0,44,7.2,53,206.0,14,4.92,,,,,
54,1.5,102,1.67,49.9,14.2,2.78,54,151.0,43.7,9.47,54,157.0,13,12.8,,,,,
55,1.5,103.5,,,,,55,139.0,39,10.5,55,103.0,12.6,24.8,,,,,
56,1.5,105,3.33,40,10.3,1.05,56,130.0,31.6,8.7,56,55.0,8.34,21.0,56,2.5,26.4,8.87,2.82
57,1.5,106.5,,,,,57,132.0,19.4,6.07,57,50.6,9.34,13.1,,1,47.6,,
58,1.5,108,2.08,40.7,4.87,0.597,58,118.0,15.4,2.83,58,81.2,24.4,6.02,,0.5,54.6,11.5,2.41
59,1.5,109.5,,,,,59,105.0,13.3,1.8,59,65.2,22.2,2.18,,,,,
60,1.5,111,2.92,22.3,2.19,0.527,60,73.3,7.6,1.02,60,21.8,7,,,,,,
61,1.5,112.5,,,,,61,50.3,4.27,0.683,61,1.42,4.78,,,,,,
62,1.5,114,2.92,15.7,1.94,0.967,62,53.7,9.1,0.887,62,,,,,,,,
63,1.5,115.5,,,,,63,47.3,6.7,0.967,63,,,,,,,,
64,1.5,117,3.75,14.3,2.86,1.17,64,48.0,9.13,1.18,64,,,,,,,,
65,1.5,118.5,,,,,65,54.3,15.1,0.967,65,,,,,,,,
66,1.5,120,2.5,28.2,4.72,0.166,66,52.0,15.3,0.323,66,,,,66,2.5,20.2,4.86,1.21
67,1.5,121.5,,,,,67,61.7,16.9,0.09,67,,,,,1,28.3,,
68,1.5,123,0.83,8.96,3.5,,68,31.3,11.7,,68,,,,,0.5,26.8,4.51,1.17
69,1.5,124.5,,,,,69,16.5,7.2,,69,,,,,,,,
70,1.5,126,1.25,3.49,0.962,,70,12.6,3.93,,70,,,,,,,,
71,1.5,127.5,,,,,71,9.73,0.697,,71,,,,,,,,
72,1.5,129,0.42,0.2,0.018,,72,1.05,,,72,,,,,,,,
73,1.5,130.5,,,,,73,,,,73,,,,,,,,
74,1.5,132,0.42,0.039,,,74,,,,74,,,,,,,,
75,1.5,133.5,,,,,75,,,,75,,,,,,,,
76,1.5,135,,,,,76,,,,76,,,,,,,,
77,1.5,136.5,,,,,77,,,,77,,,,,,,,
78,1.5,138,0.42,,,,78,,,,78,,,,,,,,
79,1.5,139.5,,,,,79,,,,79,,,,,,,,
